Gene	go_all
Mle_006403	GO:0005887;GO:0001750;GO:0005886;GO:1902495;GO:0030553;GO:0005222;GO:0005223;GO:0005221;GO:0005249;GO:0098655;GO:0006812;GO:0042391;GO:0050896;GO:0046549;GO:0007601;GO:0005216;GO:0006811;GO:0055085;GO:0016020;GO:0004476;GO:0008270;GO:0005975;GO:0003677;GO:0006355
Mle_006406	GO:0005737;GO:0016020;GO:0005654;GO:0008537;GO:0000502;GO:0061133;GO:0097371;GO:0002039;GO:0006915;GO:0007049;GO:2001237;GO:0010950;GO:2000045;GO:0061136;GO:0008537
Mle_006408	GO:0005783;GO:0005789;GO:0030176;GO:0009922;GO:0019367;GO:0035338;GO:0042761;GO:0016021
Mle_006410	GO:0016021;GO:0016020;GO:0005634;GO:0000977;GO:0001078;GO:0008270;GO:0006366;GO:0003700;GO:0008270;GO:0006355;GO:0005634
Mle_006413	GO:0015935;GO:0003723;GO:0003735;GO:0006412;GO:0003735;GO:0006412;GO:0005840
Mle_006414	GO:0005783;GO:0005794;GO:0005525;GO:0015031;GO:0007264;GO:0016192;GO:0005525;GO:0005525;GO:0007264;GO:0005525;GO:0005525;GO:0007264
Mle_006416	GO:0032279;GO:0030424;GO:0005938;GO:0030425;GO:0043198;GO:0016021;GO:0005887;GO:0005886;GO:0045211;GO:0048786;GO:0042734;GO:0043235;GO:0010855;GO:0005246;GO:0005509;GO:0016595;GO:0008066;GO:0001642;GO:0030165;GO:0070905;GO:0005245;GO:0007196;GO:0030534;GO:0001661;GO:0033555;GO:0007194;GO:0030818;GO:0014050;GO:0051966;GO:0007608;GO:0007605;GO:0007614;GO:0007268;GO:0019226;GO:0004930;GO:0007186;GO:0016021;GO:0004930;GO:0007186
Mle_006418	GO:0046872;GO:0003964
Mle_006422	GO:0042995;GO:0034451;GO:0005813;GO:0006974;GO:0031122;GO:0035058
Mle_006428	GO:0005829;GO:0019898;GO:0005811;GO:0016020;GO:0045202;GO:0047372;GO:0016787;GO:0008289;GO:0046464;GO:0019369;GO:0006633;GO:0006629;GO:0050727;GO:0051930;GO:0009966;GO:0019433;GO:0016788;GO:0009058;GO:0006629;GO:0016787;GO:0047746;GO:0015996;GO:0016788;GO:0047746;GO:0015996
Mle_006434	GO:0000812;GO:0008270;GO:0043968;GO:0043967;GO:0043065;GO:0040008;GO:0006355;GO:0006351;GO:0005515
Mle_006438	GO:0005737;GO:0030286;GO:0005874;GO:0031514;GO:0003774
Mle_006439	GO:0030133;GO:0046872;GO:0060385;GO:0007417;GO:0007268;GO:0006810
Mle_006440	GO:0031305;GO:0005743;GO:1990246;GO:0005262;GO:0015292;GO:0007015;GO:0036444;GO:0019722;GO:0043009;GO:0060027;GO:0042593;GO:0051560;GO:0006851;GO:0032024;GO:0051561;GO:0035786;GO:0008016
Mle_006442	GO:0016324;GO:0005737;GO:0005829;GO:0031234;GO:0005925;GO:0030027;GO:0005815;GO:0005634;GO:0048471;GO:0005886;GO:0001725;GO:0003779;GO:0005524;GO:0008432;GO:0004715;GO:0004672;GO:0019901;GO:0004713;GO:0005102;GO:0042169;GO:0004871;GO:0001525;GO:0007411;GO:0001568;GO:0007155;GO:0071560;GO:0021955;GO:0043542;GO:0048013;GO:0007173;GO:0040023;GO:0030198;GO:0060396;GO:0045087;GO:0007229;GO:0000226;GO:2000811;GO:0043066;GO:0050771;GO:0022408;GO:0046621;GO:0051964;GO:0001764;GO:0038083;GO:0018108;GO:0030335;GO:0008284;GO:0014068;GO:0045860;GO:0051897;GO:0001934;GO:2000060;GO:0046777;GO:0030155;GO:0033628;GO:0042127;GO:0008360;GO:0010632;GO:0051893;GO:0045667;GO:0001932;GO:1900024;GO:0007172;GO:0007179;GO:0048010;GO:0001570;GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004871;GO:0006468;GO:0007172;GO:0005925;GO:0004672;GO:0006468
Mle_006444	GO:0016021;GO:0032039;GO:0016020;GO:0005634;GO:0016180
Mle_006460	GO:0005905;GO:0016021;GO:0034361;GO:0034185;GO:0005509;GO:0030228;GO:0030229;GO:0008203;GO:0006869;GO:0021517;GO:0005515
Mle_006466	GO:0009507;GO:0005886;GO:0005525;GO:0015031;GO:0007264;GO:0005525;GO:0005525;GO:0007264;GO:0005524;GO:0006810;GO:0005525;GO:0005525;GO:0005525;GO:0003924;GO:0005525;GO:0005525;GO:0005525;GO:0007264
Mle_006468	GO:0070062;GO:0005887;GO:0005886;GO:0015137;GO:0015362;GO:0015183;GO:0017153;GO:0015141;GO:0015746;GO:0005215;GO:0006814;GO:0055085;GO:0016020;GO:0055085;GO:0016021
Mle_006469	GO:1990316;GO:0005829;GO:0005739;GO:0000407;GO:0000045;GO:0098779;GO:1903955;GO:0006914;GO:1990316
Mle_006472	GO:0016491;GO:0055114;GO:0016491;GO:0016491;GO:0008152;GO:0055114
Mle_006473	GO:0005604;GO:0070062;GO:0031012;GO:0005576;GO:0005615;GO:0005925;GO:0005796;GO:0043202;GO:0005886;GO:0005509;GO:0008022;GO:0001525;GO:0044267;GO:0022617;GO:0030198;GO:0006024;GO:0006027;GO:0030203;GO:0042157;GO:0001523;GO:0005515
Mle_006474	GO:0016282;GO:0033290;GO:0005852;GO:0000166;GO:0003743;GO:0001731;GO:0006446;GO:0006413;GO:0003676
Mle_006477	GO:0005814;GO:0005813;GO:0036064;GO:0097546;GO:0097542;GO:0005929;GO:0044292;GO:0030992;GO:0032391;GO:0072372;GO:0060271;GO:0007368;GO:0009953;GO:0042733;GO:0001947;GO:0042073;GO:0050680;GO:0001841;GO:0070613;GO:0007224
Mle_006480	GO:0030424;GO:0031463;GO:0005737;GO:0005829;GO:0030425;GO:0048471;GO:0016605;GO:0005802;GO:0019964;GO:0004842;GO:0006895;GO:0043066;GO:0043161;GO:1990390;GO:0015031;GO:0016567;GO:0005515
Mle_006481	GO:0005783;GO:0005794;GO:0000062;GO:0008289;GO:0006810;GO:0000062
Mle_006482	GO:0005829;GO:0070062;GO:0005615;GO:0005634;GO:0004807;GO:0006094;GO:0046166;GO:0019563;GO:0006096;GO:0007275;GO:0006098;GO:0004807;GO:0008152
Mle_006483	GO:0016235;GO:0030054;GO:0070062;GO:0005815;GO:0005739;GO:0045335;GO:0030670;GO:0005886;GO:0055037;GO:0055038;GO:0008021;GO:0030672;GO:0019003;GO:0005525;GO:0003924;GO:0031489;GO:0071468;GO:0045054;GO:0090150;GO:0035773;GO:0032402;GO:0001881;GO:0045055;GO:0044070;GO:2001135;GO:2000008;GO:1990126;GO:0007264;GO:0033572;GO:0005524;GO:0016887;GO:0005525;GO:0005525;GO:0007264;GO:0000166;GO:0003677;GO:0005524;GO:0005525;GO:0005525;GO:0003924;GO:0005525;GO:0005525;GO:0005525;GO:0007264;GO:0005524
Mle_006484	NA
Mle_006490	GO:0016021;GO:0004930;GO:0009881;GO:0007602;GO:0018298;GO:0007601;GO:0004930;GO:0007186;GO:0016021
Mle_006491	GO:0005634;GO:0003677;GO:0046872;GO:0030154;GO:0007275;GO:0006355;GO:0006351
Mle_006492	GO:0030054;GO:0005737;GO:0030425;GO:0043197;GO:0060076;GO:0005622;GO:0016020;GO:0043005;GO:0097481;GO:0017146;GO:0005886;GO:0045211;GO:0071532;GO:0030160;GO:0042802;GO:0035255;GO:0008022;GO:0032403;GO:0097110;GO:0017124;GO:0031877;GO:0030534;GO:0008306;GO:0007016;GO:0060997;GO:0050894;GO:0046959;GO:0007616;GO:0032232;GO:0050885;GO:0042048;GO:0060999;GO:2000463;GO:0006461;GO:0035418;GO:2000311;GO:0060013;GO:0035176;GO:0060074;GO:0071625;GO:0005515;GO:0005515;GO:0005515;GO:0005515
Mle_006493	GO:0042273
Mle_006495	GO:0009986;GO:0030118;GO:0005769;GO:0030139;GO:0005768;GO:0070062;GO:0005615;GO:0005925;GO:0005887;GO:0005770;GO:0005765;GO:0016020;GO:0005641;GO:0048471;GO:0005802;GO:0032588;GO:0030140;GO:0030133;GO:0004930;GO:0001948;GO:0042802;GO:0005010;GO:0005537;GO:0051219;GO:0004872;GO:0001972;GO:0005215;GO:0001889;GO:0031100;GO:0043065;GO:0009791;GO:0006898;GO:0032526;GO:0007165;GO:0007283;GO:0005215;GO:0006810;GO:0005737;GO:0016021
Mle_006496	GO:0030424;GO:0031463;GO:0005737;GO:0005829;GO:0030425;GO:0048471;GO:0016605;GO:0005802;GO:0019964;GO:0004842;GO:0006895;GO:0043066;GO:0043161;GO:1990390;GO:0015031;GO:0016567;GO:0042787;GO:0035455;GO:0005515;GO:0005515;GO:0005515
Mle_006501	GO:0030054;GO:0005887;GO:0008021;GO:0030672;GO:0015171;GO:0005328;GO:0032328;GO:0007420;GO:0015816;GO:0015820;GO:0015804;GO:0015824;GO:0005328;GO:0006836;GO:0016021
Mle_006503	GO:0005737;GO:0045335;GO:0008757;GO:0032259;GO:0008171;GO:0008168;GO:0003677;GO:0008170;GO:0006306;GO:0008168;GO:0005730;GO:0008168;GO:0008757;GO:0009312;GO:0009877;GO:0008168;GO:0008152;GO:0008168;GO:0001510;GO:0009452
Mle_006508	GO:0005622;GO:0005525;GO:0007264;GO:0005525;GO:0005525;GO:0007264;GO:0005525;GO:0005525;GO:0005525;GO:0007264
Mle_006509	GO:0005773;GO:0008234;GO:0008234;GO:0006508
Mle_006513	GO:0000794;GO:0005769;GO:0012505;GO:0005789;GO:0030176;GO:0005622;GO:0005815;GO:0016363;GO:0005634;GO:0032993;GO:0035497;GO:0043565;GO:0003700;GO:0044212;GO:0030968;GO:0016458;GO:0007076;GO:0045014;GO:0045892;GO:1990440;GO:0006351;GO:0003700;GO:0043565;GO:0006355;GO:0003677;GO:0006355;GO:0005634
Mle_006517	GO:0006915;GO:0005515
Mle_006518	GO:0016021;GO:0005886;GO:0005000;GO:0004930;GO:0007186;GO:0016021
Mle_006520	GO:0005737;GO:0006415;GO:0030133;GO:0031083
Mle_006521	GO:0005737;GO:0070062;GO:0000139;GO:0005524;GO:0046872;GO:0042803;GO:0004672;GO:0004702;GO:0051683;GO:0007163;GO:0051645;GO:0090168;GO:0036481;GO:0050772;GO:0032874;GO:0046777;GO:0006468;GO:0042542;GO:0006979;GO:0007165;GO:0004672;GO:0005524;GO:0006468;GO:0004672;GO:0006468
Mle_006523	GO:0005622;GO:0005886;GO:0005509;GO:0005525;GO:0003924;GO:0007298;GO:0007155;GO:0006974;GO:0007516;GO:0035099;GO:0035011;GO:0007498;GO:0030707;GO:0022409;GO:0008360;GO:0007264;GO:0005525;GO:0007264;GO:0005525;GO:0007264
Mle_006525	GO:0019902;GO:0004864;GO:0010923;GO:0005515;GO:0005515
Mle_006527	GO:0005737;GO:0005856
Mle_006532	GO:0016602;GO:0005654;GO:0032993;GO:0000978;GO:0008134;GO:0001077;GO:0006366;GO:0003677
Mle_006534	GO:0005887;GO:0005886;GO:0001631;GO:0008528;GO:0004974;GO:0006955;GO:0007218;GO:0007200;GO:0045766;GO:0010942;GO:0070374;GO:0004930;GO:0007186;GO:0016021
Mle_006541	GO:0009986;GO:0005737;GO:0031315;GO:0030061;GO:0005739;GO:0043209;GO:0005634;GO:0000981;GO:0071897;GO:0043066;GO:0008285;GO:0000122;GO:0031100;GO:0001552;GO:0001541;GO:0034097;GO:0042493;GO:0045471;GO:0035902;GO:0043434
Mle_006544	GO:0016324;GO:0031526;GO:0005887;GO:0005886;GO:0015297;GO:0015184;GO:0015175;GO:0042605;GO:0006865;GO:0015811;GO:0050900;GO:0015804;GO:0006461;GO:0006810;GO:0055085;GO:0016020;GO:0015171;GO:0003333;GO:0016020
Mle_006546	GO:0005622;GO:0005525;GO:0007264;GO:0005525;GO:0005525;GO:0007264;GO:0003924;GO:0004871;GO:0019001;GO:0031683;GO:0007186;GO:0005525;GO:0005525;GO:0005525;GO:0007264
Mle_006550	GO:0005813;GO:0005929;GO:0005737;GO:0005874;GO:0005634;GO:0005524;GO:0016874;GO:0009566;GO:0018095;GO:0007288;GO:0030317;GO:0006351;GO:0006464
Mle_006559	GO:0016021;GO:0016021
Mle_006561	GO:0005737;GO:0005654;GO:0005634;GO:0005524;GO:0046872;GO:0004672;GO:0004674;GO:0004712;GO:0004713;GO:0030036;GO:0048041;GO:0006468;GO:0007283;GO:0004672;GO:0005524;GO:0006468;GO:0004672;GO:0006468
Mle_006562	GO:0061617;GO:0042407;GO:0042407;GO:0061617
Mle_006566	GO:0005739;GO:0005524;GO:0008817;GO:0009236
Mle_006567	GO:0010008;GO:0016021;GO:0005765;GO:0005886;GO:0072345;GO:0005245;GO:0086010;GO:0005216;GO:0006811;GO:0055085;GO:0016020
Mle_006572	GO:0005615;GO:0002043;GO:0042118;GO:0045446;GO:0048839;GO:0030514;GO:0070374;GO:0010594;GO:0060393;GO:0001657;GO:0005515;GO:0005515;GO:0005515
Mle_006576	GO:0036459;GO:0016579;GO:0036459;GO:0016579
Mle_006578	GO:0005789;GO:0016021;GO:0016020;GO:0004671;GO:0006481;GO:0046498;GO:0046499;GO:0004671;GO:0006481;GO:0016021
Mle_006581	GO:0005813;GO:0005737;GO:0016020;GO:0005654;GO:0005819;GO:0034453
Mle_006586	GO:0005737;GO:0005730;GO:0008168;GO:0044822;GO:0016568;GO:0006355;GO:0006364;GO:0006351;GO:0008168;GO:0008152
Mle_006588	GO:0044295;GO:0005923;GO:0005938;GO:0030054;GO:0005911;GO:0005856;GO:0005829;GO:0012505;GO:0033269;GO:0043025;GO:0005886;GO:0043234;GO:0005547;GO:0032266;GO:0005546;GO:0008356;GO:0007409;GO:0070830;GO:0007049;GO:0090162;GO:0007163;GO:0022011;GO:0010801;GO:0031643;GO:0006461;GO:0007205;GO:0006612;GO:0060341;GO:0007179;GO:0005515;GO:0005515
Mle_006591	GO:0030176;GO:0005524;GO:0004521;GO:0004674;GO:0030968;GO:0030969;GO:0002119;GO:0090305;GO:1902255;GO:0006990;GO:0006468;GO:0001666;GO:0035966;GO:1904576;GO:0004672;GO:0005524;GO:0006468;GO:0005524;GO:0016773;GO:0016020;GO:0004672;GO:0006468
Mle_006593	GO:0016021;GO:0043005;GO:0030246;GO:0004930;GO:0030165;GO:0007420;GO:0007166;GO:0004930;GO:0007186;GO:0016021;GO:0005515;GO:0016020;GO:0004308;GO:0005975
Mle_006595	GO:0005743;GO:0005763;GO:0003735;GO:0032543;GO:0070125;GO:0070124;GO:0003735;GO:0006412;GO:0005622;GO:0005840
Mle_006598	GO:0005634;GO:0046872;GO:0000977;GO:0003700;GO:0006355;GO:0006351;GO:0046872
Mle_006602	GO:0005576;GO:0005509;GO:0008233;GO:0004252;GO:0006508;GO:0008234;GO:0006508
Mle_006606	NA
Mle_006607	GO:0009897;GO:0005887;GO:0005886;GO:0016494;GO:0004930;GO:0042113;GO:0006935;GO:0007186;GO:0006955;GO:0048535;GO:0006928;GO:0032467;GO:0004930;GO:0007186;GO:0016021
Mle_006609	GO:0005737;GO:0005789;GO:0005886;GO:0043234;GO:0008047;GO:0030234;GO:0005096;GO:0046982;GO:0017137;GO:0097051;GO:0006886;GO:2000786;GO:1903373;GO:1903061;GO:0043087
Mle_006610	GO:0005789;GO:0016021;GO:0031965;GO:0005643;GO:0046983;GO:0017056;GO:0051028;GO:0015031
Mle_006611	GO:0005737;GO:0005634;GO:0005524;GO:0030145;GO:0004674;GO:0043024;GO:0006915;GO:0007049;GO:0008283;GO:0043066;GO:0043433;GO:0031659;GO:0046777;GO:0007346;GO:0070561;GO:0004672;GO:0005524;GO:0006468;GO:0005524;GO:0016773;GO:0016020;GO:0004672;GO:0006468
Mle_006614	GO:0005634;GO:0005667;GO:0003677;GO:0030154;GO:0007399;GO:0051091;GO:0006351;GO:0006355
Mle_006617	GO:0016021;GO:0005886;GO:0007339;GO:0016337;GO:0005515
Mle_006620	GO:0005737;GO:0030286;GO:0005874;GO:0031514;GO:0005524;GO:0016887;GO:0003777;GO:0060294;GO:0036158;GO:0005524;GO:0005524;GO:0006810;GO:0005524;GO:0005525;GO:0003777;GO:0007018;GO:0030286;GO:0003924;GO:0005525;GO:0005524;GO:0016887
Mle_006621	GO:0005509;GO:0008218;GO:0005509;GO:0005509;GO:0007165;GO:0005578;GO:0005509;GO:0005509;GO:0005509;GO:0005509
Mle_006623	GO:0005737;GO:0005730;GO:0044822;GO:0005515
Mle_006625	GO:0030136;GO:0030665;GO:0005737;GO:0005856;GO:0005794;GO:0043231;GO:0016020;GO:0005634;GO:0030276;GO:0035091;GO:0005200;GO:0006919;GO:0006915;GO:0097190;GO:0030154;GO:0048268;GO:0072583;GO:0048260;GO:0042981;GO:0006355;GO:0006351;GO:0003779;GO:0005543
Mle_006626	GO:0005642;GO:0005737;GO:0090543;GO:0030529;GO:0031965;GO:0005643;GO:0044613;GO:0043234;GO:0000922;GO:0019894;GO:0005487;GO:0005543;GO:0030159;GO:0042169;GO:0017056;GO:0046966;GO:0043130;GO:0007569;GO:0008219;GO:0007166;GO:0007067;GO:0051028;GO:0043066;GO:0008285;GO:0042059;GO:0043407;GO:0043069;GO:0046580;GO:0043123;GO:0045893;GO:0070208;GO:0006606;GO:0042306;GO:0071426;GO:0006405;GO:0007283;GO:0006351
Mle_006629	GO:0030125;GO:0005905;GO:0005886;GO:0006897;GO:0015031;GO:0006897;GO:0016020
Mle_006631	GO:0005615;GO:0005887;GO:0005886;GO:0003840;GO:0036374;GO:0007568;GO:0034599;GO:0006536;GO:0006750;GO:0006751;GO:0031179;GO:0032355;GO:0032496;GO:0034612;GO:0031638;GO:0003840;GO:0006749
Mle_006632	GO:0005789;GO:0016021;GO:0052650;GO:0002138
Mle_006633	GO:0016021;GO:0005739;GO:0043531;GO:0005524;GO:0016301;GO:0016310;GO:0006744
Mle_006634	GO:0005739;GO:0005654;GO:0051747;GO:0043734;GO:0008198;GO:1990930;GO:0008283;GO:0006307;GO:0006281;GO:0035552;GO:0016788;GO:0016491;GO:0055114
Mle_006640	GO:0005829;GO:0005783;GO:0016021;GO:0044339;GO:0090090;GO:0045668;GO:0045780;GO:0045600;GO:0045672;GO:0043462;GO:0051480;GO:0009055;GO:0051536
Mle_006645	GO:0005887;GO:0070679;GO:0015279;GO:0070588;GO:0006828;GO:0010524;GO:1903244;GO:0051480;GO:0033198;GO:0051592;GO:0007338;GO:0005216;GO:0006811;GO:0055085;GO:0016020
Mle_006646	GO:0004842;GO:0008270;GO:0016567;GO:0046872;GO:0005515;GO:0005515;GO:0008270;GO:0005515;GO:0008270
Mle_006648	GO:0005576;GO:0005615;GO:0002043;GO:0042118;GO:0045446;GO:0048839;GO:0030514;GO:0070374;GO:0010594;GO:0060393;GO:0001657;GO:0005515;GO:0005515
Mle_006649	GO:0030127;GO:0005829;GO:0005789;GO:0012507;GO:0000139;GO:0048471;GO:0008270;GO:0019886;GO:0002474;GO:0048208;GO:0006888;GO:0001701;GO:0006886;GO:0006886;GO:0006888;GO:0030127
Mle_006651	GO:0005615;GO:0005509;GO:0004175;GO:0004252;GO:0007596;GO:0006508;GO:0031638;GO:0004252;GO:0006508
Mle_006654	GO:0005524;GO:0004674;GO:0004713;GO:0004672;GO:0005524;GO:0006468;GO:0004672;GO:0006468
Mle_006662	GO:0031464;GO:0016363;GO:0000109;GO:0043234;GO:0032403;GO:0004842;GO:0006974;GO:0006289;GO:0045739;GO:0043161;GO:0051865;GO:0000209;GO:0006979;GO:0009411;GO:0010165;GO:0006283;GO:0005515
Mle_006664	GO:0000775;GO:0005737;GO:0005634;GO:0000922;GO:0046872;GO:0004721;GO:0046982;GO:0051321
Mle_006665	GO:0003964;GO:0006313;GO:0005515;GO:0016491;GO:0055114
Mle_006666	GO:0005887;GO:0038106;GO:0035472;GO:0008528;GO:0004964;GO:0007190;GO:0007189;GO:0071371;GO:0050890;GO:0046544;GO:0008585;GO:0009755;GO:0008584;GO:0001541;GO:0022602;GO:0007200;GO:0043950;GO:0032962;GO:0090030;GO:0072520;GO:0007283;GO:0060065;GO:0005515
Mle_006671	GO:0030173;GO:0008376;GO:0030259;GO:0022408;GO:0006486;GO:0019276;GO:0006047
Mle_006673	GO:0005887;GO:0016020;GO:0005886;GO:0005329;GO:0015101;GO:0015651;GO:0019534;GO:0015872;GO:0006855;GO:0051615;GO:0098779;GO:0015695;GO:0015697;GO:0032098;GO:0022857;GO:0055085;GO:0016021;GO:0055085;GO:0016021
Mle_006674	GO:0016324;GO:0005737;GO:0005794;GO:0016021;GO:0043231;GO:0005765;GO:0005764;GO:0001917;GO:0006915;GO:0006914;GO:0045494;GO:0010506;GO:0007601
Mle_006678	GO:0000139;GO:0016021;GO:0008459;GO:0001517;GO:0050698;GO:0008146;GO:0005975;GO:0030206;GO:0098779;GO:0014012;GO:0051272;GO:0002230;GO:0006790;GO:0098792;GO:0008146
Mle_006679	GO:0005737;GO:0005634;GO:0005886;GO:0005096;GO:0043533;GO:0046872;GO:0007166;GO:0043087;GO:0005096
Mle_006680	GO:0031430;GO:0005863;GO:0030018;GO:0030506;GO:0005524;GO:0004674;GO:0005089;GO:0031432;GO:0030154;GO:0098779;GO:0007275;GO:0035023;GO:0005515
Mle_006682	GO:0005829;GO:0005634;GO:0005524;GO:0016301;GO:0004707;GO:0004672;GO:0007190;GO:0031152;GO:0019933;GO:0051301;GO:0007166;GO:0043327;GO:0043326;GO:0007186;GO:0007067;GO:0051344;GO:0030819;GO:0010628;GO:0072718;GO:0032496;GO:0044671;GO:0004672;GO:0005524;GO:0006468;GO:0004672;GO:0006468
Mle_006683	GO:0005764;GO:0046872;GO:0043890;GO:0008152;GO:0008484;GO:0008152;GO:0003824
Mle_006689	GO:0070062;GO:0005743;GO:0005753;GO:0000276;GO:0005739;GO:0015078;GO:0022857;GO:0006754;GO:0042776;GO:0046872;GO:0015078;GO:0015986;GO:0000276;GO:0046872
Mle_006691	GO:0005829;GO:0005524;GO:0019899;GO:0003922;GO:0003921;GO:0016462;GO:0006541;GO:0006177;GO:0042493;GO:1901367;GO:0004066;GO:0006529;GO:0003922;GO:0005524;GO:0006164;GO:0006177;GO:0004810;GO:0016787;GO:0006541
Mle_006693	GO:0030424;GO:0043194;GO:0009925;GO:0016323;GO:0005923;GO:0009986;GO:0005737;GO:0030425;GO:0014704;GO:0016328;GO:0005764;GO:0016020;GO:0031594;GO:0033268;GO:0033270;GO:0005886;GO:0045211;GO:0042383;GO:0016529;GO:0014731;GO:0045202;GO:0030315;GO:0030018;GO:0045296;GO:0008093;GO:0008092;GO:0044325;GO:0030674;GO:0030507;GO:0005200;GO:0007411;GO:0007409;GO:0071286;GO:0045184;GO:0043001;GO:0010960;GO:0072660;GO:0071709;GO:0000281;GO:1902260;GO:0007528;GO:0019228;GO:0007009;GO:0045760;GO:2001259;GO:0010650;GO:0010628;GO:0034112;GO:1900827;GO:0045838;GO:0090314;GO:2000651;GO:0010765;GO:0072659;GO:0072661;GO:0043266;GO:0007165;GO:0050808;GO:0005515;GO:0005515
Mle_006694	GO:0005634;GO:0043565;GO:0003700;GO:0008270
Mle_006698	NA
Mle_006701	GO:0005789;GO:0016021;GO:0016020
Mle_006704	GO:0005737;GO:0000151;GO:0016874;GO:0034450;GO:0006511;GO:0004842;GO:0016567;GO:0034450;GO:0006511;GO:0016567;GO:0000151
Mle_006709	GO:0005634;GO:0043565;GO:0006355;GO:0007367;GO:0003677
Mle_006711	GO:0003964
Mle_006718	GO:0000793;GO:0005737;GO:0005829;GO:0070062;GO:0005654;GO:0005634;GO:0003677;GO:0015074;GO:0075713;GO:0007077;GO:0007084;GO:0051169;GO:0009615;GO:0003677
Mle_006720	GO:0030054;GO:0048786;GO:0045202;GO:0008021;GO:0031982;GO:0005525;GO:0003924;GO:0048789;GO:0006887;GO:0048790;GO:0007269;GO:0015031;GO:0032482;GO:0048172;GO:0031630;GO:0016192;GO:0005525;GO:0005525;GO:0007264;GO:0005525;GO:0005525;GO:0005525;GO:0005525;GO:0007264
Mle_006723	GO:0005509;GO:0005509;GO:0005509;GO:0007165;GO:0005578;GO:0005515;GO:0005509;GO:0005509;GO:0005509;GO:0005509
Mle_006724	GO:0005737;GO:0045087;GO:0050728;GO:0050868
Mle_006726	GO:0005737;GO:0005576;GO:0016020;GO:0005509;GO:0003682;GO:0007155
Mle_006728	GO:0005509;GO:0005509;GO:0005509;GO:0007165;GO:0005578;GO:0005515;GO:0005509;GO:0005509;GO:0005509;GO:0005509
Mle_006730	GO:0005783;GO:0005811;GO:0005515
Mle_006735	GO:0070062;GO:0005796;GO:0016266;GO:0005515;GO:0005515;GO:0005515
Mle_006736	GO:0005737;GO:0005654;GO:0005096;GO:0046872;GO:0005096
Mle_006737	GO:0005778;GO:0005524;GO:0042623;GO:0006635;GO:0016558;GO:0005524;GO:0003723;GO:0003724;GO:0009378;GO:0006281;GO:0006310;GO:0003678;GO:0005524;GO:0005524;GO:0005524;GO:0016887;GO:0005524;GO:0007031;GO:0005777
Mle_006740	GO:0005887;GO:0042734;GO:0004930;GO:0008066;GO:0001642;GO:0007196;GO:0030818;GO:0051966;GO:0007608;GO:0007268;GO:0035249;GO:0004930;GO:0007186;GO:0016021;GO:0016021;GO:0004930;GO:0007186
Mle_006741	GO:0008106
Mle_006742	GO:0005581;GO:0005847;GO:0005730;GO:0005634;GO:0044822;GO:0006379;GO:0006397;GO:0005515
Mle_006744	GO:0031514;GO:0060271;GO:0016020
Mle_006745	GO:0016324;GO:0030424;GO:0045334;GO:0030425;GO:0005769;GO:0016021;GO:0005887;GO:0043025;GO:0043204;GO:0005886;GO:0044853;GO:0045202;GO:0008021;GO:0033265;GO:0015220;GO:0005307;GO:0008292;GO:0015871;GO:0007274;GO:0007271;GO:0005215;GO:0006810;GO:0055085;GO:0016020
Mle_006748	NA
Mle_006751	GO:0005737;GO:0005874;GO:0005516;GO:0008017;GO:0030507;GO:0007010;GO:0031175;GO:0022604;GO:0005515
Mle_006752	GO:0030054;GO:0016021;GO:0030672;GO:0022857;GO:0022857;GO:0055085;GO:0016021;GO:0055085;GO:0016021
Mle_006754	NA
Mle_006755	GO:0016021;GO:0052689;GO:0016787
Mle_006758	GO:0005576;GO:0003697;GO:0005524;GO:0006281;GO:0003678;GO:0005524;GO:0006260
Mle_006759	GO:0005622;GO:0005524;GO:0004707;GO:0007254;GO:0004672;GO:0005524;GO:0006468;GO:0005524;GO:0016773;GO:0016020;GO:0004672;GO:0006468
Mle_006760	GO:0005829;GO:0000938;GO:0005794;GO:0005739;GO:0019905;GO:0032456;GO:0006896;GO:0015031;GO:0042147;GO:0007291;GO:0007286;GO:0042147
Mle_006762	GO:0032541;GO:0005789;GO:0005794;GO:0000139;GO:0016021;GO:0032366;GO:0097036;GO:0006665;GO:0016125;GO:0042981
Mle_006765	GO:0005634;GO:0003677;GO:0046872;GO:0006355;GO:0006351;GO:0046872;GO:0046872;GO:0046872
Mle_006766	GO:0005737;GO:0003729;GO:0048312;GO:0007005;GO:0005515
Mle_006768	GO:0005886;GO:0044214;GO:0005524;GO:0046872;GO:0004702;GO:0004675;GO:0030509;GO:0071363;GO:0002063;GO:0060350;GO:1902731;GO:0061036;GO:0032332;GO:0030166;GO:0004672;GO:0005524;GO:0006468;GO:0004672;GO:0006468
Mle_006769	GO:0016324;GO:0016327;GO:0005923;GO:0005737;GO:0031410;GO:0030425;GO:0014069;GO:0045211;GO:0043220;GO:0008022;GO:0007155;GO:0042552;GO:0016032;GO:0005515;GO:0005515
Mle_006772	GO:0000139;GO:0017119;GO:0006891;GO:0015031;GO:0017119
Mle_006774	GO:0005737;GO:0016874;GO:0004842;GO:0008270;GO:0051607;GO:0032608;GO:0070534;GO:0034340;GO:0008270;GO:0005622;GO:0005515;GO:0008270;GO:0005515;GO:0008270
Mle_006780	GO:0071012;GO:0071013;GO:0071014;GO:0071020;GO:0000974;GO:0000350;GO:0000389
Mle_006782	NA
