Gene	sp_id	sp_evalue	sp_desc	go_all	Pfam
Mle_003820	Q6AYD3	1e-131	Proliferation-associated protein 2G4	GO:0005737;GO:0070062;GO:0030529;GO:0016020;GO:0005730;GO:0005654;GO:0003677;GO:0044822;GO:0003700;GO:0043066;GO:0045892;GO:0045597;GO:0006417;GO:0006364;GO:0006351	NA
Mle_003823	Q93650	2e-95	Putative glutaminase 3	GO:0005759;GO:0004359;GO:0006537;GO:0006543;GO:0004359;GO:0006541	PF04960;PF04960
Mle_003824	P00919	7e-26	Carbonic anhydrase 2	GO:0045177;GO:0005737;GO:0005829;GO:0070062;GO:0043209;GO:0005886;GO:0004064;GO:0004089;GO:0008270;GO:0038166;GO:0015670;GO:0002009;GO:0006730;GO:0032849;GO:2001150;GO:0032230;GO:0044070;GO:2001225;GO:0051453;GO:0046903	NA
Mle_003825	Q8BJ51	4e-08	UNC93-like protein MFSD11	GO:0016021;GO:0055085;GO:0016021	PF07690;PF07690
Mle_003829	Q02821	8e-50	Importin subunit alpha	GO:0005737;GO:0005829;GO:0005643;GO:0005654;GO:0005634;GO:0048471;GO:0008139;GO:0008565;GO:0006607;GO:0031144;GO:0006606;GO:0006612;GO:0005515;GO:0005515;GO:0005515	PF00514;PF00515;PF13414
Mle_003831	Q8VIK1	5e-14	U11/U12 small nuclear ribonucleoprotein 25 kDa protein	GO:0005737;GO:0045171;GO:0005654;GO:0005634;GO:0005689;GO:0006397;GO:0008380	NA
Mle_003840	Q28927	3e-07	Beta-1 adrenergic receptor	GO:0005769;GO:0016021;GO:0005886;GO:0004940;GO:0005088;GO:0005057;GO:0071880;GO:0030819;GO:0043950;GO:0043547;GO:0045823;GO:0004930;GO:0007186;GO:0016021	PF00001;PF00001;PF00001
Mle_003847	O95251	3e-116	Histone acetyltransferase KAT7	GO:0005737;GO:0000123;GO:0005654;GO:0005634;GO:0004402;GO:0003700;GO:0008270;GO:0006260;GO:0043966;GO:0043983;GO:0043981;GO:0043982;GO:1900182;GO:0006355;GO:0006351;GO:0005515;GO:0016747;GO:0006355	PF00628;PF01853;PF01853
Mle_003858	Q4TVV3	0	Probable ATP-dependent RNA helicase DDX46	GO:0015030;GO:0016607;GO:0005524;GO:0004004;GO:0003723;GO:0007420;GO:0048546;GO:0031017;GO:0072576;GO:0000398;GO:0010468;GO:0010501;GO:0005524;GO:0003676;GO:0005524	PF00176;PF00270;PF00270
Mle_003861	Q96MT3	8e-70	Prickle-like protein 1	GO:0005829;GO:0031965;GO:0005634;GO:0008270;GO:0035904;GO:0060976;GO:0090090;GO:2000691;GO:0045892;GO:0001843;GO:0032436;GO:0031398;GO:0006606;GO:0060071;GO:0008270;GO:0008270	PF00412;PF06297
Mle_003865	Q2KI83	2e-37	DnaJ homolog subfamily C member 17 [Bos taurus]	GO:0005737;GO:0005634;GO:0000166;GO:0003723;GO:0000122;GO:1901998;GO:0006351;GO:0003676;GO:0003677;GO:0008270	PF00076;PF00645;PF00645
Mle_003866	Q5R580	4e-04	Zinc finger Ran-binding domain-containing protein 2	GO:0005634;GO:0003723;GO:0008270;GO:0006397;GO:0008380;GO:0008270	PF00641
Mle_003869	P30736	3e-110	60S ribosomal protein L15	GO:0005840;GO:0003735;GO:0006412;GO:0003735;GO:0006412;GO:0005840	PF00827;PF00827;PF00827
Mle_003875	Q7L273	3e-81	BTB/POZ domain-containing protein KCTD9	GO:0051260;GO:0051260	PF02214
Mle_003881	P22001	3e-74	Potassium voltage-gated channel subfamily A member 3	GO:0030424;GO:0045121;GO:0005886;GO:0008076;GO:0005251;GO:0015271;GO:0005244;GO:0006813;GO:0051260;GO:0005216;GO:0006811;GO:0055085;GO:0016020;GO:0051260	PF00520;PF00520;PF00520;PF00520;PF02214
Mle_003884	P00747	3e-21	Plasminogen	GO:0072562;GO:0009986;GO:0070062;GO:0005576;GO:0005615;GO:0031232;GO:0005886;GO:0031093;GO:0034185;GO:0019904;GO:0005102;GO:0004252;GO:0008236;GO:0007596;GO:0044267;GO:0022617;GO:0042730;GO:0008285;GO:2000048;GO:0010812;GO:0051918;GO:0002576;GO:0051919;GO:0048771;GO:0005515;GO:0005515;GO:0004930;GO:0007186;GO:0005515	PF00020;PF00050;PF07562;PF07562;PF07648
Mle_003887	Q9TTQ9	1e-07	Probable G-protein coupled receptor 83	GO:0005887;GO:0031513;GO:0004930;GO:0004983;GO:0007166;GO:0007186;GO:0051384;GO:0004930;GO:0007186;GO:0016021	PF00001;PF00001;PF00001
Mle_003888	A5USJ4	8e-13	30S ribosomal protein S12	GO:0015935;GO:0019843;GO:0003735;GO:0000049;GO:0006412;GO:0003735;GO:0006412;GO:0005622;GO:0005840;GO:0016051	PF00164;PF00164;PF00164;PF00164;PF03102
Mle_003906	Q8VEM8	9e-158	Phosphate carrier protein, mitochondrial	GO:0070062;GO:0016021;GO:0016020;GO:0005743;GO:0005739;GO:0043209;GO:0005730;GO:0005634;GO:0032403;GO:0003735;GO:0015293;GO:0006412	NA
Mle_003907	Q6AZA0	2e-148	Acetyl-CoA acetyltransferase, mitochondrial	GO:0005739;GO:0003985;GO:0046872;GO:0008152;GO:0016747;GO:0008152;GO:0016747;GO:0008152	PF00108;PF00108;PF02803;PF02803
Mle_003908	A8NIX5	7e-07	Uncharacterized protein C2orf81 homolog	NA	NA
Mle_003911	O15523	0	ATP-dependent RNA helicase DDX3Y	GO:0005737;GO:0036464;GO:0016020;GO:0005634;GO:0005524;GO:0004004;GO:0003677;GO:0003723;GO:0007059;GO:0010468;GO:0010501;GO:0006413;GO:0005524;GO:0003676;GO:0005524	PF00176;PF00270;PF00270
Mle_003914	Q7ZX53	4e-32	Solute carrier family 22 member 15-like [Xenopus laevis]	GO:0016021;GO:0022857;GO:0006811;GO:0022857;GO:0055085;GO:0016021;GO:0055085;GO:0016021	PF00083;PF00083;PF00083;PF07690;PF07690
Mle_003918	Q5E9G1	0	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma [Bos taurus]	GO:0005813;GO:0005737;GO:0005634;GO:0005819;GO:0046872;GO:0032147;GO:0001782;GO:0030865;GO:0000226;GO:0045579;GO:0002759;GO:0051900;GO:0048536;GO:0043029;GO:0005509;GO:0005509;GO:0005509;GO:0005509	PF00036;PF13405;PF13499;PF13833
Mle_003920	P31423	1e-15	Metabotropic glutamate receptor 4	GO:0043198;GO:0005887;GO:0048787;GO:0043195;GO:0048306;GO:0005516;GO:0004930;GO:0008066;GO:0001642;GO:0007196;GO:0014051;GO:0043066;GO:0008285;GO:0050805;GO:0031175;GO:0043523;GO:0051966;GO:0051932;GO:0035249;GO:0004930;GO:0007186;GO:0016021;GO:0004930;GO:0007186	PF00003;PF00003;PF00003;PF07562;PF07562
Mle_003925	Q7SXB3	6e-08	Phosphoinositide-3-kinase-interacting protein 1	GO:0016021;GO:0005886;GO:0043553	NA
Mle_003930	B2RVL6	3e-18	Zinc finger CCHC domain-containing protein 24	GO:0044822;GO:0008270	NA
Mle_003934	Q95SX7	5e-38	Probable RNA-directed DNA polymerase from transposon BS	GO:0003964;GO:0006313	NA
Mle_003936	Q5JXC2	5e-09	Migration and invasion-inhibitory protein	GO:0030336;GO:0010972	NA
Mle_003937	Q9IDV9	6e-04	Gag-Pol polyprotein	GO:0042025;GO:0020002;GO:0072494;GO:0019013;GO:0055036;GO:0004190;GO:0003677;GO:0003887;GO:0004533;GO:0008289;GO:0003723;GO:0003964;GO:0004523;GO:0005198;GO:0008270;GO:0015074;GO:0006310;GO:0075713;GO:0039526;GO:0039657;GO:0046718;GO:0075732;GO:0019076;GO:0016032	PF00607
Mle_003941	O86236	6e-05	Uncharacterized transposase-like protein HI_1328.1 [Haemophilus influenzae Rd KW20]	GO:0006310;GO:0032196	NA
Mle_003942	Q96RL7	3e-142	Vacuolar protein sorting-associated protein 13A	GO:0005829;GO:0031045;GO:0019898;GO:0005622;GO:0006914;GO:0006895;GO:0007626;GO:0007399;GO:0008104;GO:0045053;GO:0006623;GO:0035176	NA
Mle_003943	Q96KP1	1e-67	Exocyst complex component 2	GO:0005829;GO:0000145;GO:0043231;GO:0016020;GO:0005886;GO:0019901;GO:0017160;GO:0001927;GO:0006893;GO:0015031;GO:2000535;GO:0005515	PF01833
Mle_003948	P08510	6e-45	Potassium voltage-gated channel protein Shaker	GO:0016021;GO:0008076;GO:0005251;GO:0022843;GO:0005249;GO:0001508;GO:0048675;GO:0048150;GO:0007619;GO:0009584;GO:0007629;GO:0008345;GO:0007611;GO:0048047;GO:0006813;GO:0007637;GO:0051260;GO:0045187;GO:0060025;GO:0050909;GO:0030431;GO:0005216;GO:0006811;GO:0055085;GO:0016020;GO:0051260	PF00520;PF00520;PF00520;PF00520;PF02214
Mle_003950	Q6RI63	2e-15	Constitutive coactivator of peroxisome proliferator-activated receptor gamma	GO:0005634;GO:0045444;GO:0035357;GO:0006355;GO:0006351	NA
Mle_003952	O35077	4e-130	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	GO:0005829;GO:0070062;GO:0009331;GO:0005739;GO:0004367;GO:0004368;GO:0051287;GO:0005975;GO:0071320;GO:0071356;GO:0006094;GO:0046168;GO:0006072;GO:0046486;GO:0006127;GO:0006734;GO:0006116;GO:0045821;GO:0016616;GO:0051287;GO:0046168;GO:0055114;GO:0004367;GO:0005975;GO:0055114	PF01210;PF01210;PF01210;PF01210;PF07479;PF07479;PF07479
Mle_003953	Q92542	1e-59	Nicastrin	GO:0005783;GO:0070062;GO:0005925;GO:0005794;GO:0016021;GO:0005887;GO:0005765;GO:0042470;GO:0016020;GO:0005886;GO:0004175;GO:0042987;GO:0050435;GO:0048013;GO:0050673;GO:0006509;GO:0031293;GO:0002262;GO:0007220;GO:0007219;GO:0043065;GO:0043085;GO:0016485;GO:0006508;GO:0042098;GO:0016485;GO:0016021	PF05450;PF05450
Mle_003955	Q91ZZ5	8e-11	Relaxin receptor 2	GO:0016021;GO:0005886;GO:0017046;GO:0016500;GO:0007189;GO:0007193;GO:0008584;GO:0043066;GO:0008285;GO:0001556;GO:0030819;GO:0004930;GO:0007186;GO:0016021;GO:0005515	PF00001;PF00001;PF00001;PF00057
Mle_003956	Q5E9I8	4e-84	DDB1- and CUL4-associated factor 11	GO:0016567;GO:0005515	PF00400
Mle_003957	Q95XX1	3e-32	Nicotinate phosphoribosyltransferase	GO:0005829;GO:0016874;GO:0004516;GO:0004514;GO:0009435;GO:0019358;GO:0006979	NA
Mle_003961	Q5RFD2	8e-10	Multidrug and toxin extrusion protein 1	GO:0016021;GO:0005886;GO:0015297;GO:0015238;GO:0015238;GO:0015297;GO:0006855;GO:0055085;GO:0016020	PF01554;PF01554;PF01554;PF01554;PF01554
Mle_003962	Q14833	6e-09	Metabotropic glutamate receptor 4	GO:0031410;GO:0005887;GO:0005622;GO:0005886;GO:0042734;GO:0004930;GO:0008066;GO:0001642;GO:0000187;GO:0007196;GO:0007269;GO:0043410;GO:0043523;GO:0051966;GO:0007268	NA
Mle_003969	P49419	5e-65	Alpha-aminoadipic semialdehyde dehydrogenase	GO:0005737;GO:0005829;GO:0070062;GO:0005759;GO:0005739;GO:0005634;GO:0004029;GO:0008802;GO:0004043;GO:0006081;GO:0042426;GO:0019285;GO:0006554;GO:0007605;GO:0016491;GO:0008152;GO:0055114	PF00171;PF00171;PF00171
Mle_003973	Q9I9B9	8e-100	Choline transporter-like protein 1	GO:0016021;GO:0006810	NA
Mle_003984	P06604	1e-22	Tubulin alpha-2 chain	GO:0005737;GO:0005874;GO:0045298;GO:0005525;GO:0003924;GO:0005200;GO:0051298;GO:0007094;GO:0007052	NA
Mle_003986	Q6GQQ9	1e-41	OTU domain-containing protein 7B	GO:0005737;GO:0005634;GO:0008234;GO:0003677;GO:0070530;GO:1990380;GO:0004843;GO:0008270;GO:0006955;GO:0002385;GO:0043124;GO:0032717;GO:1900181;GO:0000122;GO:0071947;GO:0035871;GO:0071108;GO:0070536	NA
Mle_003987	Q802U2	2e-69	WD repeat-containing protein mio	NA	NA
Mle_003990	O14617	0	AP-3 complex subunit delta-1	GO:0030123;GO:1904115;GO:0010008;GO:0005794;GO:0000139;GO:0005765;GO:0016020;GO:0005654;GO:0043195;GO:0005215;GO:0008089;GO:0048490;GO:0048007;GO:0035646;GO:0006726;GO:0006886;GO:0032438;GO:0051138;GO:0072657;GO:0033365;GO:0061088;GO:0048499;GO:0005515;GO:0006886;GO:0016192;GO:0030117;GO:0005515;GO:0015031;GO:0030123	PF00514;PF01602;PF01602;PF01602;PF02985;PF06375;PF06375
Mle_004000	Q96JB1	3e-167	Dynein heavy chain 8, axonemal	GO:0005858;GO:0005737;GO:0030286;GO:0005874;GO:0005524;GO:0016887;GO:0003777;GO:0001539;GO:0007018	NA
Mle_004001	A5D794	8e-36	GTPase-activating protein and VPS9 domain-containing protein 1	GO:0005829;GO:0005768;GO:0016020;GO:0032794;GO:0005096;GO:0005085;GO:0006897;GO:0051223;GO:0007165;GO:0043087	PF00616
Mle_004002	Q9YHZ5	2e-33	Serine/threonine-protein kinase pim-2	GO:0005737;GO:0005524;GO:0004674;GO:0006915;GO:0030097;GO:0043066;GO:0046777;GO:0006468;GO:0007346;GO:0004672;GO:0005524;GO:0006468;GO:0005524;GO:0016773;GO:0016020;GO:0004672;GO:0006468	PF00069;PF00069;PF00069;PF06293;PF06293;PF06293;PF07714;PF07714
Mle_004005	Q66IC8	4e-22	Tctex1 domain-containing protein 1	NA	NA
Mle_004008	Q9PSX7	1e-109	Rho-related GTP-binding protein RhoC	GO:0032154;GO:0070062;GO:0005634;GO:0005886;GO:0005525;GO:0004871;GO:0043297;GO:0000910;GO:0043123;GO:0060193;GO:1902766;GO:0007264;GO:0044319;GO:0005525;GO:0005525;GO:0007264;GO:0005525;GO:0007264	PF00025;PF00071;PF00071;PF08477;PF08477
Mle_004012	Q61239	3e-92	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	GO:0005953;GO:0005875;GO:0005965;GO:0030548;GO:0043014;GO:0004662;GO:0008017;GO:0004660;GO:0004661;GO:0004663;GO:0030971;GO:0045213;GO:0090045;GO:0090044;GO:0018343;GO:0018344;GO:0008318;GO:0018342	PF01239;PF01239
Mle_004018	Q7ZW46	1e-64	UDP-xylose and UDP-N-acetylglucosamine transporter	GO:0030176;GO:0030173;GO:0005457;GO:0005462;GO:0005464;GO:0008643;GO:0015783;GO:1990569;GO:0016020;GO:0016021;GO:0055085	PF00892;PF00892;PF08449
Mle_004022	Q9CUL5	1e-97	IQ and AAA domain-containing protein 1	GO:0005524	NA
Mle_004026	P56701	0	26S proteasome non-ATPase regulatory subunit 2	GO:0070062;GO:0016020;GO:0005634;GO:0022624;GO:0008540;GO:0034515;GO:0030234;GO:0043161;GO:0042176	NA
Mle_004027	Q9WU63	7e-04	Heme-binding protein 2	GO:0005737;GO:0070062;GO:0005739;GO:0010917;GO:0035794;GO:0010940	NA
Mle_004028	P08043	3e-54	Zinc finger protein 2	GO:0005634;GO:0003677;GO:0046872;GO:0003700;GO:0006355;GO:0006351;GO:0046872;GO:0003677;GO:0046872;GO:0046872	PF00096;PF02892;PF13465;PF13912
Mle_004029	Q9UG63	0	ATP-binding cassette sub-family F member 2	GO:0043190;GO:0016020;GO:0005740;GO:0005524;GO:0016887;GO:0005215;GO:0006810;GO:0005524;GO:0005524;GO:0016887;GO:0003723;GO:0003724;GO:0005525;GO:0003924;GO:0005525;GO:0005525;GO:0007264;GO:0005524	PF00004;PF00005;PF00005;PF00910;PF00910;PF01926;PF03193;PF03193;PF08477;PF08477;PF13304
Mle_004036	Q5NVA2	1e-173	Thioredoxin reductase 1, cytoplasmic	GO:0005737;GO:0050660;GO:0004791;GO:0045454;GO:0016491;GO:0055114;GO:0050660;GO:0008033;GO:0016491;GO:0055114;GO:0045454;GO:0055114;GO:0016491;GO:0055114;GO:0016491;GO:0055114	PF00070;PF00070;PF01134;PF01134;PF01266;PF01266;PF02852;PF02852;PF07992;PF07992;PF12831;PF12831
Mle_004042	Q5G269	1e-09	Neurotrypsin	GO:0030424;GO:0005576;GO:0005886;GO:0005044;GO:0004252;GO:0006887;GO:0004930;GO:0007186;GO:0016021;GO:0005515;GO:0005044;GO:0016020;GO:0016020	PF00001;PF00001;PF00001;PF00057;PF00530;PF00530;PF15494
Mle_004044	A7SEP9	4e-28	U1 small nuclear ribonucleoprotein C	GO:0000243;GO:0071010;GO:0005685;GO:0071004;GO:0003729;GO:0030627;GO:0030619;GO:0008270;GO:0000395;GO:0000387;GO:0008270	PF06220
Mle_004045	P49010	6e-135	Chitooligosaccharidolytic beta-N-acetylglucosaminidase	GO:0004563;GO:0006032;GO:0000272;GO:0004553;GO:0005975	PF00728;PF00728
Mle_004046	Q9D5Y0	4e-09	Uncharacterized protein C7orf31 homolog	GO:0005813;GO:0005737	NA
Mle_004052	O08586	4e-99	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	GO:0016324;GO:0042995;GO:0005737;GO:0009898;GO:0043197;GO:0005739;GO:0035749;GO:0043005;GO:0005654;GO:0005634;GO:0005886;GO:0016605;GO:0045211;GO:0043220;GO:0010997;GO:0019899;GO:0042802;GO:0051717;GO:0000287;GO:0030165;GO:0016314;GO:0051800;GO:0004438;GO:0004721;GO:0019901;GO:0004722;GO:0004725;GO:0008138;GO:0030534;GO:0007568;GO:0001525;GO:0006915;GO:0048854;GO:0060070;GO:0048738;GO:0016477;GO:0036294;GO:0071456;GO:0007417;GO:0032286;GO:0021955;GO:0060997;GO:0021542;GO:0043542;GO:0048853;GO:0007507;GO:0046855;GO:0007611;GO:0045475;GO:0007626;GO:0060292;GO:0060291;GO:0060179;GO:0042711;GO:0007613;GO:0033555;GO:0043066;GO:0048681;GO:0050771;GO:0060044;GO:0090344;GO:0030336;GO:0008285;GO:0045792;GO:0031658;GO:0061002;GO:0050680;GO:0070373;GO:0090394;GO:0051895;GO:2000134;GO:0031642;GO:0046621;GO:0050765;GO:0051898;GO:0001933;GO:0090071;GO:2000808;GO:0007270;GO:0035335;GO:0046856;GO:0048008;GO:2001235;GO:0008284;GO:0070374;GO:2000463;GO:2000060;GO:0051091;GO:1903984;GO:1904668;GO:0097107;GO:0060134;GO:0097105;GO:0060736;GO:0006470;GO:0043491;GO:0050821;GO:0048679;GO:0002902;GO:0051726;GO:0032535;GO:0060341;GO:0033032;GO:0010975;GO:0031647;GO:0032228;GO:0046685;GO:0033198;GO:0042493;GO:0032355;GO:0045471;GO:0009749;GO:0007584;GO:0010043;GO:0060024;GO:0035176;GO:0007416;GO:0060074;GO:0004725;GO:0006470;GO:0008138;GO:0006470	PF00102;PF00102;PF00782;PF00782
Mle_004054	Q54SC9	2e-23	Beta-hexosaminidase subunit A2	GO:0005764;GO:0004563;GO:0005975;GO:0004553;GO:0005975	PF00728;PF00728
Mle_004062	A5PK00	7e-94	Vacuolar protein-sorting-associated protein 36	GO:0005768;GO:0000814;GO:0031902;GO:0005634;GO:0032266;GO:0043130;GO:0043328;GO:0006355;GO:0006351;GO:0032266;GO:0043130	PF11605;PF11605
Mle_004063	Q75W84	8e-05	Annetocin receptor	GO:0016021;GO:0005886;GO:0016500;GO:0005000;GO:0007186;GO:0018991;GO:0004930;GO:0007186;GO:0016021	PF00001;PF00001;PF00001
Mle_004064	P51650	1e-137	Succinate-semialdehyde dehydrogenase, mitochondrial	GO:0005739;GO:0004029;GO:0031406;GO:0051287;GO:0004777;GO:0009013;GO:0007417;GO:0009450;GO:0055114;GO:0006105;GO:0016491;GO:0008152;GO:0055114	PF00171;PF00171;PF00171
Mle_004068	Q03936	3e-45	Zinc finger protein 92	GO:0005634;GO:0000978;GO:0003700;GO:0008270;GO:0006355;GO:0006351;GO:0046872;GO:0035556;GO:0046872	PF00096;PF00130;PF13465
Mle_004070	P15170	0	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	GO:0005829;GO:0005622;GO:0018444;GO:0005525;GO:0003924;GO:0044822;GO:0003747;GO:0002184;GO:0000082;GO:0000184;GO:0006479;GO:0005525;GO:0005525	PF01926;PF03144
Mle_004079	Q8BHT7	2e-44	RAB6A-GEF complex partner protein 2	GO:0005829;GO:0000139;GO:0016020;GO:0043234;GO:0034066;GO:0017137;GO:0017112;GO:1903363;GO:0043547;GO:0042147	NA
Mle_004080	A6NNX1	9e-17	RIIa domain-containing protein 1	NA	NA
Mle_004081	Q9VY28	5e-08	Probable 28S ribosomal protein S25, mitochondrial	GO:0005763;GO:0005739;GO:0003735;GO:0006412	NA
Mle_004083	Q5R631	1e-80	Ribosome production factor 1	GO:0005730;GO:0003723;GO:0019843;GO:0006364;GO:0003676;GO:0005506;GO:0008270	PF00076;PF00301;PF00641
Mle_004084	O08675	1e-04	Proteinase-activated receptor 3	GO:0016324;GO:0016021;GO:0015057;GO:0007596;GO:0004930;GO:0007186;GO:0016021	PF00001;PF00001;PF00001
Mle_004088	Q9NZR2	1e-05	Low-density lipoprotein receptor-related protein 1B	GO:0016021;GO:0043235;GO:0005509;GO:0015031;GO:0006898;GO:0005515	PF00057
Mle_004092	B3EWZ5	1e-132	MAM and LDL-receptor class A domain-containing protein 1	GO:0005576;GO:0016020;GO:0005515;GO:0016020;GO:0030246;GO:0005515	PF00057;PF00629;PF02140;PF13895
Mle_004093	Q09575	2e-05	Uncharacterized protein K02A2.6 [Caenorhabditis elegans]	GO:0003676;GO:0008270;GO:0015074	NA
Mle_004095	Q9JMA7	5e-43	Cytochrome P450 3A41	GO:0005789;GO:0070330;GO:0020037;GO:0005506;GO:0016491;GO:0010468;GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067;PF00067;PF00067;PF00067
Mle_004097	Q9US38	1e-11	AB hydrolase superfamily protein C1039.03	GO:0005829;GO:0005634;GO:0016787;GO:0008152;GO:0016787;GO:0008152	PF07859;PF07859
Mle_004098	P51106	7e-28	Dihydroflavonol-4-reductase	GO:0050662;GO:0045552;GO:0009718;GO:0003854;GO:0016616;GO:0006694;GO:0055114;GO:0003824;GO:0050662	PF01073;PF01073;PF01073;PF01073;PF01370;PF01370
Mle_004099	O60841	0	Eukaryotic translation initiation factor 5B	GO:0005737;GO:0005829;GO:0005525;GO:0003924;GO:0046872;GO:0044822;GO:0003743;GO:0006446;GO:0005525;GO:0007264;GO:0005525;GO:0005525;GO:0005525;GO:0007264	PF00071;PF00071;PF01926;PF03144;PF08477;PF08477
Mle_004100	P22233	3e-05	Superoxide dismutase [Cu-Zn] [Spinacia oleracea]	GO:0005737;GO:0046872;GO:0004784	NA
Mle_004102	O95436	1e-105	Sodium-dependent phosphate transport protein 2B	GO:0016324;GO:0005903;GO:0031526;GO:0005737;GO:0016021;GO:0005887;GO:0005886;GO:0031982;GO:0005315;GO:0042301;GO:0031402;GO:0015321;GO:0005436;GO:0030643;GO:0044267;GO:0001701;GO:0006817;GO:0043627;GO:0015321;GO:0044341;GO:0016020	PF02690;PF02690;PF02690
Mle_004103	Q86VP6	0	Cullin-associated NEDD8-dissociated protein 1	GO:0031461;GO:0005737;GO:0070062;GO:0005794;GO:0016020;GO:0005654;GO:0005634;GO:0000151;GO:0030154;GO:0043086;GO:0045899;GO:0016567;GO:0010265;GO:0005515;GO:0005515	PF00514;PF02985
Mle_004105	Q8LFQ6	4e-09	Glutaredoxin-C4	GO:0005783;GO:0005794;GO:0005773;GO:0009055;GO:0015035;GO:0045454;GO:0009055;GO:0015035;GO:0045454	PF00462;PF00462;PF00462
Mle_004106	Q6ZR37	2e-42	Pleckstrin homology domain-containing family G member 7	GO:0005089;GO:0035023;GO:0005089;GO:0035023	PF00621;PF00621
Mle_004109	P16254	1e-27	Signal recognition particle 14 kDa protein	GO:0070062;GO:0005634;GO:0005786;GO:0008312;GO:0030942;GO:0044822;GO:0045047;GO:0042493;GO:0006614;GO:0008312;GO:0030942;GO:0006614;GO:0005786	PF02290;PF02290;PF02290;PF02290
Mle_004112	Q28CU0	2e-74	Leucine-rich repeat-containing protein 23 [Xenopus (Silurana) tropicalis]	NA;GO:0005515;GO:0005515;GO:0005515	PF00560;PF13516;PF13855
Mle_004113	Q4I963	4e-06	Cofilin	GO:0030479;GO:0016363;GO:0030042;GO:0051014;GO:0007049;GO:0051301;GO:0006897;GO:0043001;GO:0003779;GO:0005622	PF00241;PF00241
Mle_004114	Q5U4T7	4e-69	Protein bicaudal C homolog 1-B	GO:0003723;GO:0007275;GO:0003723;GO:0005515;GO:0005515	PF00013;PF00536;PF07647
Mle_004121	Q64362	2e-32	AKT-interacting protein	GO:0005737;GO:0005829;GO:0070695;GO:0005794;GO:0030897;GO:0005730;GO:0005886;GO:0061630;GO:0031625;GO:0006915;GO:0045022;GO:0007032;GO:0008333;GO:0007040;GO:0032092;GO:0001934;GO:0015031	NA
Mle_004124	Q95SX7	1e-04	Probable RNA-directed DNA polymerase from transposon BS	GO:0003964;GO:0006313	NA
Mle_004128	Q7ZY87	0	Adenylosuccinate synthetase isozyme 2	GO:0005737;GO:0004019;GO:0005525;GO:0000287;GO:0044208;GO:0004019;GO:0005525;GO:0006164	PF00709;PF00709;PF00709
Mle_004129	Q96EQ9	6e-46	Histone-lysine N-methyltransferase PRDM9	GO:0005694;GO:0005654;GO:0042800;GO:0046872;GO:0010844;GO:0043565;GO:0034968;GO:0016571;GO:0006311;GO:0060903;GO:0010845;GO:0045944;GO:0007283;GO:0006351;GO:0046872;GO:0005515;GO:0046872;GO:0046872	PF00096;PF00856;PF13465;PF13912
Mle_004131	P09917	9e-09	Arachidonate 5-lipoxygenase	GO:0005829;GO:0030425;GO:0005615;GO:0005635;GO:0005641;GO:0016363;GO:0031965;GO:0042383;GO:0004051;GO:0005506;GO:0002526;GO:0019369;GO:0019370;GO:0006691;GO:0002540;GO:2001300;GO:0019372;GO:0045907;GO:0055093;GO:0007584;GO:0019233;GO:0016702;GO:0046872;GO:0055114	PF00305;PF00305;PF00305
Mle_004132	Q90268	4e-56	Paired box protein Pax-2a	GO:0005634;GO:0003677;GO:0043565;GO:0003700;GO:0009952;GO:0034672;GO:0001708;GO:0021549;GO:0021588;GO:0048596;GO:0009880;GO:0030902;GO:0060113;GO:0001822;GO:0021703;GO:0030901;GO:0030917;GO:0007399;GO:0043049;GO:0007422;GO:0035775;GO:0048793;GO:0072114;GO:0030878;GO:0006351;GO:0060118;GO:0003677;GO:0006355	PF00292;PF00292
Mle_004137	O97529	2e-42	Annexin A8	GO:0005509;GO:0005544;GO:0007596;GO:0005509;GO:0005544	PF00191;PF00191
Mle_004139	Q8K078	3e-80	Solute carrier organic anion transporter family member 4A1	GO:0005887;GO:0008514;GO:0015347;GO:0015349;GO:0015711;GO:0043252;GO:0042403;GO:0070327;GO:0005515;GO:0005215;GO:0006810;GO:0016020;GO:0005515;GO:0055085;GO:0016021	PF00050;PF03137;PF03137;PF03137;PF07648;PF07690;PF07690
Mle_004142	Q503E1	0	Integrator complex subunit 11	GO:0005634;GO:0016787;GO:0043484	NA
Mle_004143	Q6DFN1	1e-12	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	GO:0005743;GO:0005634	NA
Mle_004148	P62489	6e-85	DNA-directed RNA polymerase II subunit RPB7	GO:0000932;GO:0005665;GO:0005634;GO:0003899;GO:0003697;GO:0003727;GO:0031369;GO:0006915;GO:0000291;GO:0060213;GO:0045948;GO:0006366;GO:0006367;GO:0003676;GO:0003899;GO:0006351	PF00575;PF03876;PF03876
Mle_004149	Q6PCB5	5e-74	Round spermatid basic protein 1-like protein	GO:0005634	NA
